site_no,lat,lon,importance,importance_norm,n_channels,horizon
03374000,38.51088566,-87.2894493,3.089726970014863e-05,0.167162320165239,1,1
07337000,33.55194444,-94.0411111,3.0631619001662867e-05,0.16572508032031566,1,1
03052500,38.96398938,-80.1525806,3.055662965983969e-05,0.1653193683435462,1,1
03565500,35.3276313,-84.7051057,3.0486419833367547e-05,0.16493951479644053,1,1
03167000,36.93900995,-80.8872997,3.0262725560432837e-05,0.16372927020090391,1,1
07373000,31.5362873,-92.4084714,3.0077658002136146e-05,0.162728006246761,1,1
05490500,40.72780556,-91.9596139,2.9837726936135943e-05,0.16142991634880086,1,1
03150000,39.6450711,-81.8498578,2.952925116397585e-05,0.15976098164067043,1,1
07288650,33.39666667,-90.8477778,2.9402366441750283e-05,0.15907450206604815,1,1
03124500,40.5875624,-81.523175,2.931209390437352e-05,0.15858610399911377,1,1
05420500,41.78058635,-90.252073,2.9078160149289113e-05,0.15732046112372766,1,1
07166500,37.5297764,-95.674703,2.903795285121196e-05,0.15710292911201984,1,1
07170500,37.22368014,-95.6777573,2.8933618527270162e-05,0.15653845309739972,1,1
05592000,39.40702778,-88.781,2.8899124381619918e-05,0.1563518307364283,1,1
05425500,43.18805556,-88.7261111,2.8829098990614088e-05,0.1559729750334936,1,1
05488500,41.2813611,-92.8608222,2.879406748498535e-05,0.15578344541431974,1,1
05488110,41.36416667,-92.9754722,2.8697829538421417e-05,0.15526277292151733,1,1
05357245,46.03555556,-89.7055556,2.859142124908355e-05,0.15468707621099384,1,1
05420460,41.82725278,-90.1904056,2.850850900270355e-05,0.154238499245796,1,1
03277200,38.77525,-84.97238889,2.820950134222354e-05,0.15262078950127517,1,1
07227100,35.3443861,-103.3896056,2.8181542852766333e-05,0.15246952675180447,1,1
03213700,37.67315699,-82.2801408,2.8144675885555098e-05,0.1522700668048158,1,1
05127500,48.082538,-91.652421,2.810887471540626e-05,0.15207637309903566,1,1
03267900,39.9642265,-83.8315962,2.8036621566817212e-05,0.1516854646441915,1,1
03510577,35.38444444,-83.2916667,2.7986173987939947e-05,0.1514125300317263,1,1
03253500,38.7103478,-84.3107693,2.7931891373918403e-05,0.1511188468748475,1,1
07047942,35.1447222,-90.8780556,2.7762865923684746e-05,0.15020437492628252,1,1
05046000,46.214467,-96.183734,2.7545554558671196e-05,0.1490286635340955,1,1
03266560,40.25227718,-83.749655,2.7394471117568546e-05,0.1482112625534145,1,1
06449000,43.1459166,-101.5128713,2.7340256141579314e-05,0.1479179453360029,1,1
03202750,37.62316608,-81.7073342,2.7078867024413616e-05,0.14650376176200408,1,1
03331500,41.15724265,-86.56359199,2.6823582446501078e-05,0.14512260534396437,1,1
03578500,35.35633238,-85.9790227,2.682231845667074e-05,0.14511576682798044,1,1
05465500,41.1780861,-91.1820917,2.674694083816391e-05,0.14470795417267418,1,1
03331753,41.04974369,-86.5991488,2.6619047139272432e-05,0.14401601577006795,1,1
05357206,46.03277778,-89.6077778,2.652554011252152e-05,0.14351011826860166,1,1
03286500,37.8292447,-84.723835,2.6169759787976014e-05,0.14158525354439327,1,1
06915000,38.6563999,-94.8963521,2.6136711459778246e-05,0.14140645343445687,1,1
07372200,31.7543363,-92.3445833,2.6108721017804857e-05,0.14125501781350622,1,1
03201405,38.4453673,-82.0068032,2.6092472680634424e-05,0.1411671100544519,1,1
06402000,43.43053476,-103.4763069,2.5926507852318886e-05,0.14026919687195094,1,1
06430850,44.3496865,-103.9359118,2.5883513000317027e-05,0.14003658346353198,1,1
05515500,41.38963889,-86.7061667,2.585098252038202e-05,0.13986058504830637,1,1
06909000,38.980306,-92.7454638,2.5839382389618502e-05,0.1397978253031422,1,1
07027720,35.71876687,-89.2122764,2.583561395675144e-05,0.1397774370944895,1,1
07072500,36.1025,-91.0977778,2.5659918424965592e-05,0.13882687825802872,1,1
07064000,36.40194444,-90.5413889,2.5533507226836593e-05,0.13814296057277095,1,1
07031650,35.1164879,-89.8014706,2.5475497417919922e-05,0.13782911231546666,1,1
07369000,32.5,-91.9180556,2.5237416606337233e-05,0.13654103277843255,1,1
06906500,39.2222512,-92.848798,2.512262952313429e-05,0.135920004598939,1,1
05357230,46.0786111,-89.6672222,2.5063542393875623e-05,0.13560032775646594,1,1
03290500,38.43895654,-84.9632844,2.4775199631463493e-05,0.1340403179033159,1,1
03140500,40.24840465,-81.872909,2.476278443385556e-05,0.13397314843308136,1,1
03212980,37.39538968,-81.8026142,2.466307557890821e-05,0.1334336974169957,1,1
07274000,34.2733333,-89.5213889,2.4605606997596256e-05,0.1331227773427645,1,1
03101500,41.49810898,-80.46006929,2.4532248802925e-05,0.13272589029923648,1,1
07363500,33.7008333,-92.0258333,2.4504625422379607e-05,0.13257644057673387,1,1
07026040,36.24085076,-89.2176397,2.4435298166719385e-05,0.13220136196884008,1,1
03287000,37.92563166,-84.8213381,2.4415716694580276e-05,0.13209542107675507,1,1
03320500,37.1222655,-87.3194431,2.4093302631637382e-05,0.13035107656546072,1,1
05532000,41.88185556,-87.8689333,2.405986651377914e-05,0.13017017841191045,1,1
07164500,36.14064807,-96.0063866,2.4004109774454168e-05,0.12986851985110998,1,1
03176500,37.3728986,-80.8606347,2.3970502503187606e-05,0.12968669571280061,1,1
03408500,36.3855255,-84.5546973,2.3966451142445247e-05,0.12966477679025207,1,1
07165570,35.82277778,-95.6377778,2.392074236853651e-05,0.12941748035362047,1,1
401733105392404,40.29305556,-105.6544444,2.388047851899259e-05,0.12919964238366827,1,1
06434505,44.70092898,-103.7327817,2.3872936353888212e-05,0.12915883729538205,1,1
03467609,36.126332,-83.1752965,2.371861312606562e-05,0.12832390822014117,1,1
05527500,41.3463333,-88.1867222,2.3712877297767587e-05,0.12829287588700386,1,1
07369500,32.43208704,-91.36678139,2.3650637618107295e-05,0.12795614292129764,1,1
07335500,33.8751049,-95.5019023,2.36449616666167e-05,0.12792543453736854,1,1
06823000,40.06943516,-102.0512979,2.3623089817167657e-05,0.12780710210425428,1,1
03129000,40.2614593,-81.6090097,2.3517478299908494e-05,0.1272357161393278,1,1
05430500,42.6136111,-89.0716667,2.3362514467443884e-05,0.12639732122521805,1,1
07063000,36.75975,-90.3878333,2.329184346244332e-05,0.12601497258150451,1,1
03491000,36.42620656,-82.9518304,2.3214797492113723e-05,0.12559813370594472,1,1
07170990,37.0053578,-95.5927549,2.3214250395619727e-05,0.1255951737706437,1,1
05357215,46.02388889,-89.6527778,2.3105499270535637e-05,0.12500680170521328,1,1
03185400,37.95511285,-81.07648838,2.3021931928458105e-05,0.12455468050074145,1,1
03330500,41.32057424,-85.7891216,2.2930692916060727e-05,0.12406105355085412,1,1
03289000,38.0431322,-84.6263318,2.2919087317494024e-05,0.12399826422344286,1,1
07375280,31.0122222,-90.4611111,2.279379999090442e-05,0.12332042697752214,1,1
06746110,40.5619264,-105.8639,2.2769558316406838e-05,0.1231892731703077,1,1
06088500,47.56126667,-111.5417694,2.2765765999318062e-05,0.12316875574176096,1,1
03474000,36.80733756,-81.6220617,2.2455255325161093e-05,0.12148881168094636,1,1
03598000,35.48035,-86.4991609,2.2432240795749915e-05,0.12136429705000261,1,1
03173000,37.26817845,-80.7095125,2.241817467911316e-05,0.12128819567549495,1,1
05355200,44.564233,-92.731577,2.2297576938374272e-05,0.12063573031709142,1,1
05517000,41.30279685,-86.62053829,2.2297180542824577e-05,0.12063358571336322,1,1
03214500,37.83731869,-82.4087578,2.215442680608748e-05,0.11986125061460476,1,1
03601990,35.7842341,-87.46001419,2.2047942797878955e-05,0.11928514424516248,1,1
03341500,39.4657222,-87.4195,2.189692653850778e-05,0.11846810673524168,1,1
06470000,46.8897222,-98.6816667,2.1784615988382295e-05,0.11786047724822846,1,1
03488000,36.89678115,-81.7462293,2.1702584569195662e-05,0.11741666578880947,1,1
05245100,45.97509,-94.865925,2.1616510178361052e-05,0.1169509807940394,1,1
03237020,39.07006954,-83.0196224,2.1469785877756802e-05,0.1161571639049856,1,1
06843500,40.28444444,-100.1436111,2.1461713681664385e-05,0.11611349121025456,1,1
03048500,40.6045099,-79.5519887,2.1444129310338502e-05,0.11601835515655116,1,1
07030392,35.03258978,-89.246736,2.131909356307231e-05,0.11534187902065134,1,1
03210000,37.5670444,-82.45792659,2.1304318486964447e-05,0.11526194198974933,1,1
03225500,40.35506096,-83.0671318,2.130078450066493e-05,0.11524282219842173,1,1
03473000,36.65178127,-81.8440102,2.120088329699099e-05,0.11470233052535474,1,1
05592100,39.2298611,-88.8418333,2.10969017212215e-05,0.11413976297072119,1,1
03034500,40.8361756,-79.1100356,2.104278873859737e-05,0.11384699756412388,1,1
06792500,41.40916667,-97.7936111,2.1018507697458477e-05,0.11371563077307097,1,1
05311000,44.93330769,-95.7336354,2.0912234815603877e-05,0.11314066665249121,1,1
03287500,38.2113333,-84.8741111,2.0864769279664373e-05,0.11288386567322876,1,1
394839104570300,39.8109722,-104.9515833,2.0855958865629203e-05,0.11283619902610985,1,1
03015000,41.9381145,-79.133101,2.0845949673481596e-05,0.11278204667547785,1,1
05426067,43.08777778,-88.3761111,2.0839162318634386e-05,0.11274532530834556,1,1
03500000,35.15,-83.3797222,2.0800165815868076e-05,0.11253434401634115,1,1
03287250,38.0528805,-84.8311989,2.07874053357914e-05,0.11246530647753138,1,1
03198350,37.9662186,-81.524278,2.0703690127017926e-05,0.11201238527551255,1,1
07182510,38.19446678,-95.735264,2.0570771203130268e-05,0.11129325908971818,1,1
05429700,42.9197239,-89.2203937,2.054066977561135e-05,0.11113040248416109,1,1
03136500,40.4056175,-82.4998854,2.0503501907737888e-05,0.11092931458579275,1,1
03102500,41.42199889,-80.376178,2.038227069476509e-05,0.11027342197671598,1,1
03232500,39.21839888,-83.3854695,2.0300338029935977e-05,0.10983014480423205,1,1
03198500,38.1798222,-81.7115106,2.026841483995596e-05,0.10965743198669432,1,1
03074500,39.9800758,-79.7642085,2.022339273818359e-05,0.10941385062613973,1,1
401723105400000,40.29,-105.6666667,2.0189217916599377e-05,0.10922895589198713,1,1
06339500,47.1543948,-102.0599856,2.015906155759628e-05,0.10906580209271569,1,1
05545750,42.61085116,-88.225923,1.9934647818608462e-05,0.10785166499742471,1,1
03202400,37.60400034,-81.6451096,1.990664998940981e-05,0.10770018940965088,1,1
03193000,38.1381632,-81.2142745,1.9897889847721004e-05,0.10765279474909063,1,1
06895500,39.2150194,-93.5152118,1.989170411548564e-05,0.10761932831783572,1,1
06890900,39.07500017,-95.4038634,1.9734264340279423e-05,0.10676753790511721,1,1
03155000,39.0589686,-81.38956408,1.971990933919769e-05,0.10668987359011188,1,1
03436100,36.5547222,-87.1419444,1.9643409375431318e-05,0.10627598875304221,1,1
03353120,39.7758686,-86.0638538,1.963694449632883e-05,0.1062410120641358,1,1
05243725,46.874919,-95.066273,1.9543508233213224e-05,0.10573549741246743,1,1
03327500,40.75,-86.0666667,1.9542347260450013e-05,0.10572921624579379,1,1
03436690,36.3106833,-87.5539407,1.944173622139586e-05,0.1051848841774348,1,1
03550000,35.13888889,-83.9805556,1.938842252423724e-05,0.10489644311451526,1,1
03383000,37.22393575,-87.7805659,1.9344747983131714e-05,0.10466015241005484,1,1
07179730,38.46695699,-96.2505533,1.9321087055083692e-05,0.10453214059321296,1,1
03234500,39.21228934,-82.8637854,1.9243918686721757e-05,0.10411463951224575,1,1
03336000,40.1400311,-87.40667549,1.9232626085986686e-05,0.10405354358506858,1,1
03310300,37.56200389,-86.0366333,1.9217753535752597e-05,0.10397307919361808,1,1
05594800,38.4061111,-89.8738889,1.9197601691061557e-05,0.10386405243666331,1,1
06449500,43.3255586,-100.8837556,1.9175446079941498e-05,0.10374418477859998,1,1
07031692,35.16937845,-89.8661226,1.9174489878057278e-05,0.10373901147600517,1,1
03068800,38.91316335,-79.770342,1.9162445471774632e-05,0.10367384808393981,1,1
05301000,45.021208,-95.868503,1.911673150647964e-05,0.10342652356054907,1,1
03151400,38.7434337,-80.5253667,1.9062613716612545e-05,0.10313373214550846,1,1
07263300,34.86305556,-92.4852778,1.9054808559984043e-05,0.10309150420420699,1,1
06036940,44.732725,-110.7132528,1.8986429395667603e-05,0.10272155501876032,1,1
06824000,40.0422222,-101.7280556,1.8907438440944985e-05,0.10229419326829998,1,1
03497300,35.66453328,-83.7112821,1.8894114888943772e-05,0.10222210936292649,1,1
06876900,38.96899167,-97.4770444,1.888067182293552e-05,0.10214937885547772,1,1
03575100,34.7492568,-86.4466551,1.8867425520618156e-05,0.10207771289112325,1,1
03361650,39.7142026,-85.8855147,1.8717326098285874e-05,0.10126563570967555,1,1
03240000,39.74839296,-83.9313196,1.8630129198440306e-05,0.10079387764720406,1,1
03149500,39.9086814,-81.8604105,1.862487752611809e-05,0.10076546472468213,1,1
07030500,35.05425748,-89.5411896,1.8606536390192826e-05,0.10066623437632166,1,1
06823500,40.03944444,-101.8666667,1.8590040134530946e-05,0.10057698531330606,1,1
03276500,39.4074722,-85.01288889,1.8573159972246543e-05,0.10048565921492873,1,1
03209500,37.4642676,-82.5262632,1.8560175211160266e-05,0.10041540825712443,1,1
384048104504901,38.6799938,-104.8480298,1.8531968048579397e-05,0.10026280012093453,1,1
03410210,36.47739057,-84.6693508,1.8384638430214174e-05,0.09946570830427892,1,1
07377000,30.8890694,-90.8445454,1.838425126872305e-05,0.09946361365922572,1,1
07230000,35.22173637,-97.2139165,1.8330280618436924e-05,0.09917161830784967,1,1
03277300,37.11759849,-82.82460429,1.83162981472798e-05,0.0990959694772911,1,1
07311800,33.644257,-99.8009252,1.8287730772808978e-05,0.09894141250044766,1,1
03456500,35.46166667,-82.8697222,1.82119693898222e-05,0.09853152357880822,1,1
03325000,40.79085717,-85.8202341,1.816299623403239e-05,0.09826656598135425,1,1
03588500,35.02415329,-87.5790219,1.8162830154948676e-05,0.09826566745002012,1,1
07171000,36.85119615,-95.5860882,1.8008235249227533e-05,0.09742926852620362,1,1
06917560,37.8647222,-94.5822222,1.7972404777503084e-05,0.0972354162912262,1,1
03329000,40.74641335,-86.3774748,1.7947028944771635e-05,0.0970981263909638,1,1
05336700,46.105191,-92.864309,1.7939254245906892e-05,0.09705606323414026,1,1
05051500,46.26607,-96.5986848,1.789014248631465e-05,0.09679035575381889,1,1
03504000,35.1275,-83.6186111,1.7862081137235866e-05,0.09663853650685954,1,1
05378500,44.05571,-91.637823,1.784807186066246e-05,0.09656274265197935,1,1
03216500,38.3300813,-82.9393353,1.779521260535966e-05,0.09627676023850479,1,1
03228805,40.18228495,-82.9615711,1.771345102985186e-05,0.09583440870405242,1,1
05424057,43.45027778,-88.6322222,1.7684835252945552e-05,0.09567958985735782,1,1
06657000,42.2410095,-104.6280247,1.7678478002615767e-05,0.09564519546829654,1,1
07368000,32.48125346,-91.797904,1.765892357247672e-05,0.09553940088051338,1,1
03302050,38.04693096,-85.8572681,1.7623202018087856e-05,0.09534613791684374,1,1
03014500,42.11263889,-79.20363889,1.7486519585796383e-05,0.09460665016503243,1,1
03433500,36.0545965,-86.9285018,1.7436311108485186e-05,0.09433500915465334,1,1
03260706,40.31116317,-83.9124371,1.7435957689121628e-05,0.09433309706334633,1,1
05446500,41.5561111,-90.1852778,1.740393428841786e-05,0.09415984207955089,1,1
06875900,39.4738987,-98.2836658,1.7390390310472474e-05,0.09408656561209633,1,1
05129115,48.265068,-92.5654257,1.737848148598272e-05,0.0940221357530354,1,1
05316580,44.545551,-94.994976,1.7365612810440712e-05,0.093952512848425,1,1
05304500,45.1085449,-95.79877,1.7295886561969525e-05,0.09357527558493936,1,1
05288705,45.049798,-93.310445,1.7284244863877637e-05,0.09351229094964346,1,1
06634620,41.96105917,-106.2092391,1.7235554005079652e-05,0.09324886065284056,1,1
05536195,41.5775,-87.5222222,1.7143679967933984e-05,0.09275179805277065,1,1
06898000,40.64027778,-93.8080556,1.7046862458245807e-05,0.0922279899716955,1,1
