target,pred,subset
376000.0,362205.94,0
362000.0,370173.1,0
350000.0,379163.84,0
344000.0,384095.5,0
328000.0,386594.8,0
314000.0,384531.38,0
309000.0,383396.06,0
312000.0,382389.28,0
318000.0,384671.03,0
332000.0,383680.28,0
352000.0,380451.2,0
370000.0,377249.56,0
387000.0,376775.56,0
400000.0,380433.72,0
415000.0,380398.97,0
414000.0,383117.25,0
396000.0,385861.0,0
368000.0,387803.5,0
343000.0,389950.44,0
326000.0,391287.8,0
315000.0,391302.53,0
299000.0,387910.7,0
289000.0,384221.9,0
280000.0,381135.84,0
272000.0,378533.28,0
271000.0,376181.34,0
271000.0,373275.34,0
286000.0,370180.56,0
296000.0,367657.56,0
300000.0,367760.0,0
312000.0,365870.4,0
327000.0,364081.3,0
336000.0,362006.38,0
341000.0,359697.28,0
340000.0,357690.6,0
329000.0,356302.94,0
312000.0,355782.84,0
295000.0,357367.56,0
282000.0,358514.2,0
269000.0,359183.06,0
259999.97,359197.84,0
254000.0,359152.12,0
252000.0,359800.34,0
257000.0,360812.2,0
264000.0,362065.56,0
272000.0,361366.94,0
290000.0,359777.47,0
299000.0,359032.12,0
302000.0,359132.47,0
309000.0,359404.7,0
303000.0,359624.38,0
294000.0,359998.0,0
289000.0,360824.66,0
287000.0,361766.9,0
285000.0,362303.16,0
285000.0,362789.66,0
286000.0,363333.78,0
284000.0,363735.16,0
271000.0,364011.62,0
261000.0,364183.97,0
258000.0,364464.28,0
259000.0,364632.25,0
265000.0,364448.75,0
271000.0,363721.94,0
280000.0,362656.2,0
297000.0,361651.38,0
314000.0,361128.62,0
332000.0,360775.4,0
353000.0,363035.75,0
370000.0,366966.8,0
385000.0,371692.28,0
399000.0,377572.2,0
405000.0,383055.0,0
404000.0,390496.62,0
397000.0,399807.84,0
385000.0,407961.9,0
371000.0,414854.53,0
357000.0,419121.7,0
343000.0,420610.03,0
333000.0,419853.28,0
322000.0,419142.62,0
311000.0,416427.03,0
306000.0,411630.1,0
306000.0,406238.7,0
302000.0,400892.53,0
301000.0,395638.4,0
300000.0,391088.7,0
299000.0,388785.2,0
297000.0,386169.97,0
297000.0,383383.1,0
298000.0,380927.94,0
297000.0,378510.25,0
299000.0,376389.97,0
296000.0,374523.1,0
292000.0,372915.72,0
287000.0,370944.53,0
285000.0,369099.4,0
286000.0,367739.84,0
276000.0,366335.2,0
264000.0,365213.8,0
253000.03,364312.16,0
248000.0,363284.88,0
244000.0,362234.7,0
244999.97,361393.25,0
254000.0,360807.75,0
274999.97,360083.97,0
295000.0,359482.88,0
315000.0,359308.88,0
331000.0,359111.28,0
344000.0,359036.94,0
351000.0,358992.16,0
368000.0,359779.6,0
386000.0,360929.12,0
399000.0,361527.72,0
405000.0,361950.0,0
413000.0,362152.4,0
417000.0,364203.28,0
416000.0,365843.75,0
415000.0,367763.94,0
413000.0,369810.03,0
404000.0,371292.12,0
393000.0,372164.3,0
387000.0,373784.16,0
385000.0,375612.44,0
374999.97,377867.5,0
372000.0,378207.8,0
377000.0,378180.94,0
391000.0,377420.16,0
415000.0,376047.72,0
447000.0,374435.2,0
487000.0,373157.03,0
530000.0,372120.34,0
563000.0,370838.9,0
590000.0,371000.3,0
612000.0,373230.6,0
631000.0,375506.2,0
650000.0,377439.28,0
664000.0,381557.5,0
676000.0,388533.47,0
687000.0,395212.94,0
696000.0,402133.56,0
708000.0,409444.22,0
720000.0,415814.44,0
725000.0,421142.2,0
724000.0,426840.22,0
714000.0,449806.66,0
700000.0,470064.06,0
679000.0,482978.5,0
654000.0,491660.75,0
629000.0,493345.7,0
607000.0,492677.25,0
587000.0,490093.34,0
570000.0,488575.75,0
553000.0,483404.34,0
535000.0,475219.22,0
513000.0,467202.78,0
494000.0,463006.78,0
474000.0,451956.97,0
453000.0,439666.16,0
435000.0,427685.2,0
419000.0,415794.34,0
408999.97,405945.34,0
400000.0,397047.34,0
400000.0,389299.88,0
415000.0,382587.5,0
441000.0,377235.9,0
473000.0,372120.2,0
504000.0,367774.6,0
530000.0,364410.8,0
553000.0,361626.34,0
570000.0,362157.28,0
580000.0,367490.9,0
582000.0,369905.5,0
579000.0,371549.62,0
572000.0,372794.3,0
567000.0,374473.34,0
571000.0,376604.7,0
589000.0,378218.8,0
615000.0,383378.0,0
643000.0,389688.0,0
674000.0,394536.03,0
704000.0,397836.6,0
729000.0,399773.94,0
753000.0,401472.06,0
772000.0,420087.47,0
791000.0,489922.06,0
811000.0,537772.4,0
825000.0,566495.8,0
839000.0,600168.3,0
856000.0,664117.0,0
873000.0,770105.2,0
891000.0,844801.8,0
905000.0,900332.56,0
915000.0,929128.56,0
922000.0,955146.9,0
935000.0,969676.75,0
943000.0,980259.94,0
949000.0,989902.94,0
956000.0,992621.7,0
963000.0,988788.75,0
965000.0,978073.2,0
967000.0,968313.94,0
972000.0,978086.9,0
981000.0,989482.6,0
981000.0,995670.06,0
977000.0,999871.56,0
970000.0,1.00204525e+06,0
965000.0,999183.7,0
961000.0,990342.8,0
952000.0,978648.8,0
945000.0,967660.3,0
943000.0,951224.44,0
930000.0,930884.9,0
918000.0,923252.0,0
906000.0,914716.7,0
896000.0,898612.4,0
891000.0,879587.75,0
891000.0,920768.75,0
884000.0,946677.94,0
870000.0,960443.56,0
855000.0,964601.6,0
841000.0,961048.94,0
830000.0,953333.5,0
820000.0,939904.5,0
811000.0,926851.75,0
805000.0,933608.1,0
792000.0,960851.75,0
785000.0,975332.44,0
781000.0,978666.56,0
787000.0,978899.25,0
794000.0,975067.06,0
804000.0,979714.56,0
812000.0,978958.8,0
822000.0,977563.3,0
833000.0,973990.1,0
846000.0,964551.8,0
858000.0,951215.5,0
869000.0,933889.8,0
875000.0,919256.7,0
880000.0,925523.44,0
879000.0,946325.94,0
881000.0,949560.9,0
884000.0,953627.2,0
882000.0,955296.4,0
875000.0,956467.7,0
862000.0,951676.5,0
846000.0,954976.4,0
830000.0,963982.56,0
811000.0,968483.7,0
796000.0,968761.8,0
784000.0,965081.0,0
777000.0,968582.25,0
777000.0,964333.3,0
779000.0,957539.25,0
787000.0,948211.25,0
796000.0,935138.75,0
804000.0,920372.75,0
814000.0,903293.44,0
823000.0,890391.6,0
831000.0,887339.44,0
838000.0,882753.7,0
845000.0,890781.5,0
853000.0,905761.25,0
861000.0,933391.25,0
867000.0,948468.25,0
864000.0,959605.6,0
859000.0,970597.0,0
846000.0,975825.3,0
828000.0,976061.56,0
809000.0,972112.75,0
789000.0,963620.0,0
771000.0,948750.94,0
756000.0,932853.9,0
743000.0,909570.75,0
733000.0,882967.44,0
725000.0,855029.1,0
